Day,Healthy cases,Latent cases,Active cases,Die cases,Recover cases
1,9.0,1.0,0.0,0.0,0.0
2,9.0,1.0,0.02,0.0,0.0
3,9.0,1.0,0.04,0.0,0.01
4,8.99,1.01,0.08,0.0,0.01
5,8.97,1.03,0.29,0.0,0.01
6,8.94,1.06,0.79,0.0,0.01
7,8.77,1.23,0.81,0.0,0.02
8,8.63,1.37,0.84,0.0,0.07
9,8.55,1.45,1.04,0.0,0.09
10,8.36,1.64,1.06,0.01,0.11
11,8.22,1.78,1.2,0.03,0.17
12,8.05,1.95,1.29,0.06,0.35
13,7.87,2.13,1.41,0.11,0.46
14,7.7,2.3,1.57,0.11,0.48
15,7.48,2.52,1.76,0.14,0.54
16,7.2,2.8,1.87,0.16,0.64
17,6.89,3.11,2.03,0.16,0.69
18,6.64,3.36,2.19,0.18,0.77
19,6.23,3.77,2.42,0.18,0.92
20,5.86,4.14,2.65,0.18,1.11
21,5.58,4.42,2.96,0.21,1.24
22,5.41,4.59,3.23,0.24,1.28
23,5.13,4.87,3.6,0.25,1.43
24,4.96,5.04,3.92,0.26,1.56
25,4.79,5.21,4.11,0.3,1.68
26,4.69,5.31,4.39,0.3,1.85
27,4.51,5.49,4.62,0.34,2.07
28,4.44,5.56,4.9,0.42,2.3
29,4.38,5.62,5.07,0.45,2.47
30,4.29,5.71,5.27,0.48,2.67
31,4.19,5.81,5.42,0.49,2.88
32,4.04,5.96,5.48,0.51,3.09
33,3.96,6.04,5.58,0.53,3.36
34,3.87,6.13,5.68,0.55,3.58
35,3.82,6.18,5.81,0.59,3.76
36,3.78,6.22,5.88,0.6,4.02
37,3.75,6.25,5.99,0.61,4.27
38,3.71,6.29,6.05,0.61,4.41
39,3.67,6.33,6.12,0.62,4.53
40,3.63,6.37,6.14,0.62,4.67
41,3.63,6.37,6.22,0.63,4.81
42,3.57,6.43,6.26,0.65,4.92
43,3.54,6.46,6.31,0.66,4.98
44,3.49,6.51,6.36,0.67,5.07
45,3.48,6.52,6.39,0.67,5.15
46,3.48,6.52,6.42,0.67,5.21
47,3.47,6.53,6.43,0.68,5.28
48,3.47,6.53,6.46,0.69,5.36
49,3.46,6.54,6.51,0.71,5.43
50,3.46,6.54,6.52,0.71,5.45
51,3.46,6.54,6.54,0.72,5.54
52,3.46,6.54,6.54,0.74,5.57
53,3.46,6.54,6.54,0.74,5.61
54,3.46,6.54,6.54,0.74,5.62
55,3.46,6.54,6.54,0.75,5.68
56,3.46,6.54,6.54,0.75,5.7
57,3.46,6.54,6.54,0.75,5.71
58,3.46,6.54,6.54,0.75,5.73
59,3.46,6.54,6.54,0.75,5.74
60,3.46,6.54,6.54,0.75,5.74
61,3.46,6.54,6.54,0.75,5.74
62,3.46,6.54,6.54,0.75,5.76
63,3.46,6.54,6.54,0.75,5.78
64,3.46,6.54,6.54,0.75,5.79
65,3.46,6.54,6.54,0.75,5.79
66,3.46,6.54,6.54,0.75,5.79
67,3.46,6.54,6.54,0.75,5.79
68,3.46,6.54,6.54,0.75,5.79
69,3.46,6.54,6.54,0.75,5.79
70,3.46,6.54,6.54,0.75,5.79
71,3.46,6.54,6.54,0.75,5.79
72,3.46,6.54,6.54,0.75,5.79
73,3.46,6.54,6.54,0.75,5.79
74,3.46,6.54,6.54,0.75,5.79
75,3.46,6.54,6.54,0.75,5.79
76,3.46,6.54,6.54,0.75,5.79
77,3.46,6.54,6.54,0.75,5.79
78,3.46,6.54,6.54,0.75,5.79
79,3.46,6.54,6.54,0.75,5.79
80,3.46,6.54,6.54,0.75,5.79
81,3.46,6.54,6.54,0.75,5.79
82,3.46,6.54,6.54,0.75,5.79
83,3.46,6.54,6.54,0.75,5.79
84,3.46,6.54,6.54,0.75,5.79
85,3.46,6.54,6.54,0.75,5.79
86,3.46,6.54,6.54,0.75,5.79
87,3.46,6.54,6.54,0.75,5.79
88,3.46,6.54,6.54,0.75,5.79
89,3.46,6.54,6.54,0.75,5.79
90,3.46,6.54,6.54,0.75,5.79
